"Input","Output"
"What's the fastest route to the airport?","<soren>
    <fragment>
        I need to find the fastest route to the airport from the user's current location. I'll get their location.
        <tool id=[get_location]>
            <get_location output> // returns coordinates or address
        </tool>
        Now I'll calculate the fastest route to the airport.
        <tool id=[directions] params=[destination='Airport', origin=<get_location output>, mode='fastest']>
            <directions output> // returns route details
        </tool>
    </fragment>
    <output>
        Here is the fastest route to the airport: <directions output>.
    </output>
</soren>"
"Find me a book about machine learning.","<soren>
    <fragment>
        I need to search for books on machine learning. I'll use the book search tool.
        <tool id=[book_search] params=[topic='machine learning', max_results=5]>
            <book_search output> // returns list of books
        </tool>
        I'll summarize the top results.
        <tool id=[summarizer]>
            <summarizer output>
        </tool>
    </fragment>
    <output>
        Here are some books about machine learning: <summarizer output>.
    </output>
</soren>"
"Set the thermostat to 72 degrees.","<soren>
    <fragment>
        I need to set the thermostat to 72 degrees. I'll access the smart home system.
        <tool id=[smart_home_control] params=[device='thermostat', action='set_temperature', value='72']>
            <smart_home_control output> // confirmation
        </tool>
    </fragment>
    <output>
        The thermostat has been set to 72 degrees.
    </output>
</soren>"
"Remind me to pick up laundry on Friday.","<soren>
    <fragment>
        I need to set a reminder to pick up laundry on Friday. I'll confirm the date.
        <tool id=[date_parser] params=[input_text='Friday']>
            <date_parser output> // returns date
        </tool>
        Now I'll set the reminder.
        <tool id=[set_reminder] params=[date=<date_parser output>, message='Pick up laundry']>
            <set_reminder output> // confirmation
        </tool>
    </fragment>
    <output>
        Reminder set to pick up laundry on <date_parser output>.
    </output>
</soren>"
"What's 50 divided by 7?","<soren>
    <fragment>
        I need to calculate 50 divided by 7. I'll use the calculator.
        <tool id=[calculator] params=[expression='50 / 7']>
            <calculator output> // returns result
        </tool>
    </fragment>
    <output>
        50 divided by 7 is approximately <calculator output>.
    </output>
</soren>"
"Translate 'Where is the bathroom?' into Italian.","<soren>
    <fragment>
        I need to translate 'Where is the bathroom?' into Italian. I'll use the translation tool.
        <tool id=[translator] params=[text='Where is the bathroom?', target_language='Italian']>
            <translator output> // returns translated text
        </tool>
    </fragment>
    <output>
        'Where is the bathroom?' in Italian is <translator output>.
    </output>
</soren>"
"What's on my calendar for tomorrow?","<soren>
    <fragment>
        I need to retrieve the user's calendar events for tomorrow. I'll get the date for tomorrow.
        <tool id=[date_calculator] params=[offset='1 day']>
            <date_calculator output> // returns date
        </tool>
        Now I'll get the events for <date_calculator output>.
        <tool id=[calendar_fetch] params=[date=<date_calculator output>]>
            <calendar_fetch output> // returns list of events
        </tool>
    </fragment>
    <output>
        Here are your events for tomorrow: <calendar_fetch output>.
    </output>
</soren>"
"Play a relaxing playlist.","<soren>
    <fragment>
        I need to play a relaxing playlist. I'll search for a suitable playlist.
        <tool id=[music_search] params=[genre='relaxing', type='playlist']>
            <music_search output> // returns playlist details
        </tool>
        Now I'll play <music_search output>.
        <tool id=[music_player] params=[playlist=<music_search output>]>
            <music_player output> // confirmation
        </tool>
    </fragment>
    <output>
        Playing a relaxing playlist: <music_search output>.
    </output>
</soren>"
"How many days until Christmas?","<soren>
    <fragment>
        I need to calculate the number of days until Christmas. I'll get today's date.
        <tool id=[date_today]>
            <date_today output> // returns current date
        </tool>
        I'll calculate the difference between Christmas and today.
        <tool id=[date_difference] params=[start_date=<date_today output>, end_date='December 25']>
            <date_difference output> // returns number of days
        </tool>
    </fragment>
    <output>
        There are <date_difference output> days until Christmas.
    </output>
</soren>"
"Order a large pepperoni pizza.","<soren>
    <fragment>
        I need to order a large pepperoni pizza for the user. I'll check their preferred pizza place.
        <tool id=[user_preferences] params=[category='food_delivery']>
            <user_preferences output> // returns preferred pizza place
        </tool>
        Now I'll place the order at <user_preferences output>.
        <tool id=[food_ordering] params=[restaurant=<user_preferences output>, order='large pepperoni pizza']>
            <food_ordering output> // returns order confirmation
        </tool>
    </fragment>
    <output>
        Your large pepperoni pizza has been ordered from <user_preferences output>.
    </output>
</soren>"
